央视,#genre#
重庆影视,CCQTV2&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000372.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000372?AuthInfo=xxx&userid=
重庆影视,CCQTV2&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000257.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000257?AuthInfo=xxx&userid=
重庆少儿,CCQTV10&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000374.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000374?AuthInfo=xxx&userid=
重庆少儿,CCQTV10&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000245.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000245?AuthInfo=xxx&userid=
重庆科教,CCQTV4&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000373.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000373?AuthInfo=xxx&userid=
重庆科教,CCQTV4&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000256.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000256?AuthInfo=xxx&userid=
重庆移动,CQTVYD&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000384.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000384?AuthInfo=xxx&userid=
重庆移动,CQTVYD&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000249.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000249?AuthInfo=xxx&userid=
重庆农村,CCQTV9&高清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000376.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000376?AuthInfo=xxx&userid=
重庆农村,CCQTV9&标清&rtsp://123.147.113.10:1554/iptv/Tvod/iptv/001/040000010400000200000001/01000000004000000000000000000253.rsc?tvdr=%s,rtsp://123.147.112.30:8089/04000001/01000000004000000000000000000253?AuthInfo=xxx&userid=
